"year","genre","avg_popularity","avg_danceability","avg_instrumentalness","avg_loudness","avg_tempo","avg_speechiness","avg_acousticness","count"
2000,"acoustic",4.21403091557669,0.553810939357907,0.220327147407848,-13.727063020214,117.176123662307,0.0617933412604043,0.686746321878716,841
2000,"afrobeat",8.61386138613861,0.688475247524753,0.315703470643564,-8.46313861386139,119.944861386139,0.0671925742574257,0.300327113861386,202
2000,"alt-rock",33.7633928571429,0.475194084821429,0.134886521060268,-7.32193191964286,127.114900669643,0.0694231026785714,0.155138289207589,896
2000,"ambient",5.66336633663366,0.370097920792079,0.733796853742574,-18.9384118811881,109.612406930693,0.060969603960396,0.60058703609901,1010
2000,"black-metal",5.30205949656751,0.237452173913043,0.456896559519451,-6.63236727688787,125.497088100686,0.0944766590389016,0.033575577826087,874
2000,"blues",15.1253196930946,0.520092583120205,0.122911713606138,-9.26071611253197,121.238175191816,0.0565185421994885,0.348719852941176,782
2000,"breakbeat",3.83950617283951,0.635407407407407,0.519959721666667,-7.49624074074074,132.337543209877,0.0846975308641975,0.0310581851851852,162
2000,"cantopop",7.29128738621587,0.571309492847854,0.00385132724317295,-9.5403355006502,121.308598179454,0.047367100130039,0.440750630689207,769
2000,"chicago-house",2.94642857142857,0.788,0.495166301964286,-11.9722321428571,124.187714285714,0.101323214285714,0.0782417857142857,56
2000,"chill",1.6551724137931,0.581508620689655,0.468229969008621,-11.5954612068966,114.484375,0.0861150862068965,0.302320106465517,232
2000,"classical",21.3829296424452,0.359069896193772,0.608407571303345,-20.5857589388697,107.782361014994,0.0473250288350634,0.836871978985006,867
2000,"club",2.19018404907975,0.509837423312883,0.243887835245399,-10.0871533742331,127.504788343558,0.0477978527607362,0.24940792506135,326
2000,"comedy",4.49134948096886,0.591266435986159,0.00539790262975779,-12.7024982698962,111.586010380623,0.521894809688581,0.707223529411765,289
2000,"country",22.2938881664499,0.570780234070221,0.0223184300130039,-9.1516566970091,119.778856957087,0.0394801040312094,0.37998204479844,769
2000,"dance",31.6337693222354,0.681063020214031,0.0673287023662307,-6.74702497027348,118.568243757432,0.0935879904875149,0.149569979191439,841
2000,"dancehall",4.38686987104338,0.71215592028136,0.00524191339976553,-7.79870926143025,112.758327080891,0.259601055099648,0.213312711137163,853
2000,"death-metal",10.7403462050599,0.293993741677763,0.506607016231691,-6.19921438082557,119.382846870839,0.121459920106525,0.00429560418109188,751
2000,"deep-house",3.55627009646302,0.742299035369775,0.482572405723473,-9.76350160771704,123.816540192926,0.0765520900321543,0.0520421881028939,311
2000,"detroit-techno",4.07692307692308,0.714446153846154,0.783306673846154,-11.4621076923077,132.310307692308,0.0824338461538461,0.0827560564615385,65
2000,"disco",8.44783715012723,0.658290076335878,0.0831002480916031,-8.57485368956743,121.460160305344,0.05654631043257,0.225507260559796,786
2000,"drum-and-bass",4.20948616600791,0.592660079051383,0.72480961660079,-8.57118577075099,151.919529644269,0.100314229249012,0.0229404032806324,253
2000,"dub",3.46519721577726,0.717676218097448,0.326603830893271,-10.1609512761021,121.946730858469,0.111076450116009,0.14293050725058,862
2000,"dubstep",0,0.604428571428571,0.650763928571429,-13.3736428571429,120.423464285714,0.0396857142857143,0.166896071428571,28
2000,"edm",7.6530612244898,0.609571428571429,0.479164439863946,-8.47674829931973,130.967095238095,0.0578544217687075,0.042627517414966,147
2000,"electro",16.359612724758,0.645403872752421,0.483885801466113,-9.49062378976487,121.965578146611,0.0751532503457815,0.176803285242047,723
2000,"electronic",3.09407665505226,0.649082229965157,0.613441675261324,-12.0420662020906,124.228616724739,0.0825209059233449,0.260726557909408,287
2000,"emo",8.91569086651054,0.372960304449649,0.141413356299766,-6.87958548009368,128.091548009368,0.06622962529274,0.0547504825058548,854
2000,"folk",24.4044750430293,0.519152323580034,0.107356666884682,-10.2056798623064,122.041125645439,0.0584117039586919,0.499359660240964,581
2000,"forro",4.20264317180617,0.654547356828194,0.00165805803964758,-7.61595154185022,120.561012114537,0.056752422907489,0.302600066079295,908
2000,"french",14.037037037037,0.506080392156863,0.161271754945534,-11.171394335512,115.516912854031,0.0958159041394336,0.444078887810458,918
2000,"funk",20.3257328990228,0.68292345276873,0.0979741109771987,-7.37010586319218,113.450956026059,0.140237133550489,0.180939830732899,614
2000,"garage",4.1474358974359,0.494893333333333,0.17842736325641,-6.7723141025641,127.517707692308,0.0942310256410256,0.196408447461538,780
2000,"german",14.5708609271523,0.464146225165563,0.33129329794702,-13.6035986754967,115.71141192053,0.0719855629139073,0.491587441470199,755
2000,"gospel",13.6092925026399,0.532602956705385,0.00444418241816262,-8.7162787750792,116.932156282999,0.0729841605068638,0.410402706441394,947
2000,"goth",6.60913705583756,0.41512538071066,0.24413480927665,-8.31543401015228,125.108623096447,0.051918654822335,0.10633559356599,788
2000,"grindcore",3.57551020408163,0.258114693877551,0.559299616530612,-6.25672653061225,113.669542857143,0.15008,0.0151158009387755,245
2000,"groove",5.32,0.4979925,0.178881940275,-8.37803,119.613185,0.0795985,0.405199577225,400
2000,"guitar",5.70693779904306,0.477673205741627,0.650545268181818,-16.7441674641148,111.25554784689,0.0516049043062201,0.765637149186603,836
2000,"hard-rock",17.307847082495,0.452255331991952,0.126764258651911,-6.65998792756539,125.856597585513,0.0728016096579477,0.0629797319919517,497
2000,"hardcore",25.7510094212651,0.611020323014805,0.0767744397711978,-6.23393539703903,113.486475100942,0.244073082099596,0.100756140928668,743
2000,"hardstyle",1.375,0.55725,0.567690625,-8.9251875,151.860375,0.1089625,0.0101190625,16
